nama_penulis,rating,teks_ulasan,waktu,likes
Aisya Hanum,5.0,sangat bagus. pelayanan sangat ramah sangat dibantu. tempatnya nyaman dingin. masnya sabar luar biasa. sangat ingormatif🤙🏻💪🏻,a month ago,0
Irma Novitasari,5.0,"Barang bagus dan kayak baru semua, setelah muter2 akirnya beli disini..mas Rudi seller baik, ramah dan sabar bgt ..good dech pokoknya",4 months ago,0
ida roikhanah,5.0,pertama kali beli laptop second di sini. dapet yang sesuai sama kebutuhan. mas nya yg jaga jelasinnya sabar banget,3 weeks ago,0
Furqon Ahmad Fauzi,5.0,"Alhamdulillah dapet laptop spek bagus dan sesuai kebutuhan, karena disana di paparkan sesuai request pelanggan, jadi enak, bonus juga mouse, tas laptop, kena diskon juga sii,hehe...makasih Hero Computer, semoga laptopnya awet ya.aamiin",5 months ago,0
Sad Polaris,5.0,"Barusan beli latop disini, dan jujur puas banget! Dari awal tanya-tanya, adminnya fast respon dan sabar jelasin. Pilihan laptop banyak, harganya juga oke banget dibanding tempat lain. Proses kirim cepet, laptop langsung nyala tanpa masalah. Pokoknya recommended banget buat yang mau cari laptop tanpa ribet!",5 months ago,0
Alfiyan Fadly,5.0,"Pelayanan ramah, barangnya masih bagus bagus, akses sangat mudah... Saya udah muter2 cari lp bakas tapi yang cukup lengkap cuma di sini",5 months ago,0
Budianto Haris,5.0,"Pelayanan ramah, harga naiss, rekomended sekali untuk nyari laptop second berkualitas dan yg jelas harga menarik",4 months ago,0
fikhri ardiansyah,5.0,"Tempat nyaman, stafnya sabar jelasin spesifikasi laptop, cocok buat yang kurang paham teknologi",a month ago,0
Agung Febri,5.0,"Hero computer emang recomend buat kantong² menengah pelayananya ramah,juooossss pokoke",a week ago,0
Joshua Mayong,5.0,"Tempat terbaik untuk beli laptop second. Pilihannya banyak, tempatnya nyaman, dingin dan sangat bersih, laptop juga dalam kondisi yang baik semua. Karyawan yang menjaga sangat informatif dan membantu mencarikan sesuai kebutuhan dan sesuai dengan dana yang dimiliki. 10/10 👌🏻",3 months ago,0
h,5.0,"laptop di sini masi baguss semua kualitas juga oke bgtt, recommend buat yang butuh laptop second like new & harganya yang pasti worth it",2 months ago,0
Monicha Herwinda,5.0,"pelayanan sudah sangat baik, untuk laptop sangat bervariasi dan terlihat seperti baru👍🏻",a week ago,0
