nama_penulis,rating,teks_ulasan,waktu,likes
fitra sony,5.0,"Numbaske laptop ibuk saya, bonusnya ada, potongan harga ada.. Mas-mas penjualan lumayan membantu, barang bisa dicek dulu sampai puas sampai ga ngeh dah lewat jam tutup.. matur nuwun, heroes..",a year ago,0
Novia Tri Ratnasari,5.0,"Pelayanan nya baik, ramah,, harga oke dapat barang bagus sesuai,",3 months ago,0
Andrean Henrikus,5.0,"Mantappp, puas beli laptop disini. Chat pas hari h lebaran masih direspon & dilayani dengan baik. Terimakasih banyak semoga sehat & sukses selalu orang baik 🙏🏻",6 months ago,0
Muah Roniie,5.0,Pelayanannya OK,3 weeks ago,0
Mulia simanjuntak,5.0,Pelayanan top dengan pilihan laptop yang beragam. TOP,3 weeks ago,0
Shafi Salsabila,5.0,"bagus,, tempat nyaman pelayanan oke",a month ago,0
Daily Clips,5.0,"Pelayanan sangat baik
Harga bersahabat
Kualitas mantap bgtt
Makasih herooo",2 years ago,0
Widya Arum Miranti,5.0,"Bagus banget like newwww, masnya ramah dan mau menjelaskan dengan sabar utk org yg gak ngerti laptop. Worth untuk dicoba beliii🥰♥️",a year ago,0
Nabung Naskah,5.0,"Beli laptop second berkualitas disini aja, harga paling murah se Jogja👍👍😝",a month ago,0
Slamet Riyadi1,5.0,"Mantapp spek laptopnya baguss
Pelayanannya baguss",a month ago,0
meida widyaningrum,5.0,Jossjisss recomended masya ramahh poll pilihannya lengkap🤩🫵,3 weeks ago,0
zahra,5.0,Pelayanan oke harga terjangkau,a month ago,0
Rafi,5.0,Pelayanan Ramah Dan Harga Terjangkau,a month ago,0
Rangga Perdana,5.0,"Pelayanannya bintang 5, puas banget, nanya apa aja dijawab dan produknya yang dijual beneran berkualitas, second tapi kondisinya kayak barang baru! harganya jangan ditanya, WORTH THE PRICE ✨🔥 Sukses terus buat Hero Computer, saya akan kembali lagi 👍🏻😂",a year ago,0
fathan azka,5.0,"Recommend buat beli laptop disini, sellernya ramah2, friendly, semoga amanah dan berkah rezekinya",10 months ago,0
Hasna Huwaida,5.0,"Pelayanan ramah, laptop yang dimau ada kualitas mantap, harga terjangkau",3 months ago,0
Woci Cilik,5.0,"Tempatnya nyaman, dingin, banyak pilihan dan harga murah",3 weeks ago,0
Yuio pou gaming Salam,5.0,rekomen banget pelayanan nya juga bagus banget,a month ago,0
Essica Verawaty,5.0,"Pelayanannya good , laptop nya bergaransi , worth it 👍",2 months ago,0
eum rets,5.0,"Pelayanannya bagus ramah, pegawainya sat set, storenya juga nyaman banget",3 months ago,0
mang kan,5.0,"Tempate ciamik pol, lengkap, dan hargane murah meriah.",a month ago,0
Ridwan Putra,5.0,"pelayanan ramah, pilihan juga banyak",a month ago,0
Danish Dwi Kuncoro,5.0,"pelayanan bagus, rekomen untuk cari laptop",5 months ago,0
Yusril Nur,5.0,"kualitas terbaik laptop second dan bisa jual beli, untuk pelayanan sangat ramah",4 months ago,0
Ady Hadiansyah,5.0,Tempat laptop second bergaransi terbaik di kota jogja🔥🤩👍,9 months ago,0
arly 27,5.0,"Gud
Simpel
Jelas
Ga menyesatkan
Rekomendid
Mas nya renyah renyah
Sat set
Gas.....",7 months ago,0
Hafiizh Moon,5.0,Toko terbaik yg jual laptop second.. Udah 2x belii tidak mengecewakan..,2 months ago,0
Risti Ana,5.0,"Respon penjual baik, semoga barang yg sampai sesuai ya... trimakasih 😊",3 months ago,0
R Fiuw Winlye,5.0,Beli macbook air di sini semoga awet,2 weeks ago,0
Fanny Putri Pratiwi,5.0,pelayanannya memuasan pokoknya mantap beli disini untuk harga terjangkau..,8 months ago,0
Ikhvan F. Yudhistira,5.0,"Mas nya ramah banget, pelayanan sangat oke, terbaik 👍 barang juga mulus banget",a year ago,0
Gandis Rahmadani,5.0,"Pelayanan ramah dan helpfull, laptop yang tersedia masih dalam kondisi bagus",2 months ago,0
Elvira Febrina,5.0,"Banyak pilihan laptopnya, pelayanan ramah",3 weeks ago,0
Fitri Ani,5.0,"Beli Laptop disini terpercaya, harga terjangkau👍👍",a month ago,0
Kresna Alya,5.0,"Pelayanannya bagus, ramah, tempatnya bersih, sejuk, nyaman..
Terbaik👍👍",2 months ago,0
Yunan Alvian,5.0,"Tempat nyaman, pelayanan ramah, dan barang bagus",6 months ago,0
Arif Hidayat,5.0,harga terjangkau dengan kualitas yang terbaik,2 months ago,0
Nur Fajriatul Habibah,5.0,"baguss, toko lengkap",2 weeks ago,0
dicky adi,5.0,Outlet penyedia laptop second berkualitas,3 months ago,0
Dimmas Setyo,5.0,"Toko Laptop terrekomend dijogja, kondisi barang rata"" bagus no minus lah
Harga juga kompetitif",7 months ago,0
Sukarto Sukarto,5.0,"Pelayanan nya sangat baik, banyak unit yang tersedia dan harga yang terjangkau cocok buat yang lagi nyari laptop",6 months ago,0
Ganesha Putra,5.0,"Gacorrr parah tokonya, pelayanan kerennn, jadi cari laptop second bener bener best dan terjamin masih gen terbaru🔥🔥",a year ago,0
Ardi Kurniawan Prasetyo,5.0,Tempat nyaman laptop banyak tipe harga miring josss,2 days ago,0
Abdain Gaming,5.0,baguss!!barang bagus harga murah👍🏻,a week ago,0
Guntur Wahyu,5.0,"kakak nya ramah banget, nanya apa aja dijawab. laptop second tapi kondisinya kayak barang baru, untuk harganya jangan ditanyakan lagi deh. the best pokoknya. lancar terus buat hero komputer 🙏🙏",a year ago,0
Gesha Az-zahra,5.0,"respon penjual ramahh, sat sett. kualitas oke, sesuai pict yang dikirim",4 months ago,0
Muhamad Najib,5.0,"Tempatnya nyaman, pelayanan ramah. Kalau mau beli laptop second berkualitas langsung gass kesini. Mantapp 👍",2 years ago,0
putri zaitun nisa,5.0,"Harga affordable, barang up date pelayanan ok bangettt",2 months ago,0
Imas Hasanah,5.0,Buat yg cari leptop second disini worth it bgt sihh..,a month ago,0
setyo bayu wicaksono,5.0,"Laptop second like new sangat recomended....puas membeli disini, sukses terus hero computer 👍",8 months ago,0
Yanuaris Nafirous,5.0,"laptopnya si keren keren, murah lagi, banyak pilihan. masnya jago buat ngejelasin ke customer, jadinya ga bingung milih yang sesuai kebutuhan",a year ago,0
Faizal SW,5.0,"Tempat jual beli laptop yang mantap. Ruangan nyaman, pelayanan baik, bisa cek pricelist lengkap lewat wa, jadi ga bingung mau pilih2. Barang second tapi masih bergaransi, jadi tenang mau beli. Mantap Hero Computer, recommended",8 months ago,0
Raregood GT,5.0,"Pelayanan ramah, lumayan banyak pilihan, harga dibawah pasaran",9 months ago,0
resa,5.0,Pelayanannya komunikatif dan ramah,a month ago,0
wahidriyanto -,4.0,Cocok si buat temen temen yang nyari laptop second dengan kualitas baru. Saya dapat leptop msi a15 like new dengan harga di bawah harga baru ada sedikit perubahan si di bagian penyimpan ssd yang ga sesuai seperti bawaan tapi gamasalah aman,2 years ago,0
Septiana Farida,5.0,pelayanan ramah ada diskon Jumat berkah pula... smoga awet2 🙌🏽,10 months ago,0
AHMAD MUFTI,5.0,Tempat yang tepat untuk kalian yang mau beli laptop second berkualitas dengan harga menarik. Pelanyannya ramah memuaskan. Pokoknya mantap 👍👍👍 sukses selalu HERO COMPUTER,3 years ago,0
Erlangga Mahes,5.0,"recommended banget tempat ini untuk jual atau beli laptop, pelayanan ramah harganya juga pas",a year ago,0
Fedoryan Akmal,5.0,"Barang bagus, mulus, dan terpercaya. Cocok deh belanja disini",4 months ago,0
Firnaa,5.0,"Ramah, bagus, rekomen kalau mau jual n beli leptop disni",4 months ago,0
Dony Marly Martiawan Siregar,5.0,"Udah lama mantau lewat instagram dan akhirnya nemu juga laptop yang sesuai budget. Tokonya bersih, produk yang ditawarkan bagus-bagus dan masih ada garansi resminya juga. Pelayanan ramah. Bisa banget kalau lagi mau nyari laptop second dengan kualitas yang bagus langsung dateng ke tokonya 😎.",2 years ago,0
Desi Nh,5.0,Alhamdulillah beli laptop sesuai kebutuhan dengan kondisi bagus bngt harga terjangkau.,4 months ago,0
titik nurwijayanti,5.0,"Kesekian kali beli laptop disini, tidak pernah mengecewakan, rekomended  bangat laptonya masih    baru2 dan garansi nya masih lama..",a year ago,0
Sak Ban,5.0,"Alhamdulillah, pelayanannya sangat ramah, dan leptop yang dijual berkualitas semua👍",a year ago,0
Bayu Setiyawan,5.0,Pelayanan baik dan ramah banget. Kondisi barang juga bagus,4 months ago,0
Afiq syaefuloh,5.0,pelayanan ramah dan cepatt🤩,a month ago,0
Aini Nur Hidayah,5.0,rekomen buat yg nyari laptop second tpi kualiatas bagus,3 months ago,0
Mf Iqbal,5.0,Mantab semoga berkah barokah,3 weeks ago,0
Thomas Winahyu,5.0,"tempat beli laptop bekas terbaik, pelayanan ramah pokoke joss gandoss 👍🏻👍🏻",3 years ago,0
AGHISNA RIZKA,5.0,Cari laptop yang bekas tapi bagus terawat dan terpercaya disini solusinya. Puas sekali dengan laptop yang didapat.,3 months ago,0
Dimas Setiawan,5.0,"pelayanan mantab, unit masih bagus semua, rekomen bgt buat cari laptop",a year ago,0
Adnan Kholib,5.0,"Laptopnya second berkualitas, ada promo, bonus banyak, wiss pokoke joss tenan neng kene",4 months ago,0
Dimas Ade,5.0,Tengkyuh buat pelayanan yg ramah dan ashoiy banget… 🙌🏻,Edited a year ago,0
Cand Ga,5.0,"pelayanan ramah, jual laptop lebih tinggi dari harga pasaran👍",3 months ago,0
Setyawan Djorghi,5.0,"Recommended buat mahasiswa, harga sesuai kualitas dan terjamin, seller ramah, pelayanan baik.Sukses terus buat toko nya.",2 years ago,0
Agus Dewantoro,5.0,Pelayananya bagus bgt di jelasinnya juga secara detail harga pelajar pkoknya recomend bgt,9 months ago,0
Zulfian Ramadhan,5.0,"Pelayanan ramah, kondisi laptop masih bagus bener2 lolos qc, well pokoknya bintang 5 👍",a year ago,0
Raka Herlambang,5.0,Leptop bekualitas dan aman😊😊,4 months ago,0
Agung Jaya Laksana,5.0,"Very trusted & recommended seller.. pembelian online direct trf, barang sesuai yg ditawarkan. Works 100%. Packing nya jg bagus, bubble wrapnya tebel",3 years ago,0
Muhammad Hafis,5.0,"Pelayanannya sangat oke, ramah dan sangat memberikan support apa yg kita butuhkan butuhkan. Pelayanannya juga benar-benar sangat ramah dan memberikan jaminan terhadap kebutuhan kita.",6 months ago,0
Pudin Pudin,5.0,"Ga salah pilih deh untuk tempat jual/beli laptop di Hero computer udah terbaik pokoknya, pelayanannya ramah, dan harga-harga laptopnya juga bisa menyesuaikan budget mahasiswa. 👍👍",7 months ago,0
Febriana Bulan.P.,5.0,"pelayanannnyaa sangatt baguusss, kakak kakak nyaa gercepp dann ramahhh selaluu fastt responn, barang barangnyaa jugaa lengkaap dann baikk banget dikasihh free giftt dan diskon juga, thank youuu",9 months ago,0
Sobat Phubbing,5.0,tempat bagus nyaman pelayanan baik,6 months ago,0
Rifqy Hadar,5.0,Recommended sekali beli disini,a month ago,0
Veri Putra,5.0,"Pertama kali beli laptop second lihat di deskripsi kondisi diatas 90%, awalnya ragu trus akhirnya ngumpulin niat buat beli , belum pernah kesana belum lihat langsung barangnya dan waktu dateng malah seperti laptop baru, mulus banget dalaman juga masih ori semua, seller juga ramah fast respon kita konsultasi lasca beli masih dilayani dengan baik, pokoknya joss",11 months ago,0
SAFA THALITA FARAH SAPUTRA -,5.0,"Kalau mau beli laptop dengan pelayanan top dan harga bersaing, recommended banget! Bakal balik lagi kalau butuh gadget lainnya.",7 months ago,0
Fidyah astuti,5.0,Tempat jual laptop second teerrr Recomended 🫶🏻,2 months ago,0
220_Muhamad Rizki Sin Naba,5.0,pelayanan sangat ramah,a month ago,0
Ihis,5.0,Cocok buat yg cari laptop bekas murah dan bagus,2 months ago,0
Indo Maulana,5.0,"Puas beli laptop disini, pelayanan ramah super satset, rekomend bgt 👌",5 months ago,0
Isa Jaisyullah Hamid,5.0,"Seller fast respon, pilihan produk banyak dan mantap, murah dan masih garansi. Toko mudah terlihat kalo dari selatan sebelum alfamart 👍👍",2 years ago,0
Baharazka iqbal,5.0,Laptop lengkap bekas berkualitas premium . Ga bakal kecewa . Pelayanan ramah.,3 years ago,0
Ardan Tama,5.0,Pelayananya ramah. Kondisi laptop sangat baik. Kondisi laptop dijelaskan dengan baik. Harga terjangkau. Toko ini sangat direkomendasikan.,6 months ago,0
Ahmad Hanif Hasan Rosydi,5.0,"Seri terbaru pelayanan ramah, murah josjis",2 months ago,0
Arlana Alfatih,5.0,Toko laptop murah dan bergaransi,2 months ago,0
mohammad hasan rifai,5.0,"Tempat jual laptop second di jogja, rekomended sih, banyak berbagai macam laptop di sini, biarpun tempatnya kecil tapi nyaman sih..",a year ago,0
Vindi Dini,5.0,"Pelayanan ramah, walaupun second tapi barang masih baguss bngt. Recomen bngt si buat yang mau jual/beli laptop",7 months ago,0
Yunika Prianti45,5.0,Pelayanan oke barang masih kondisi baguss”,a year ago,0
Madunius,5.0,"Barang nya bagus, terjangkau harganya
Mantap pelayanan nya",a year ago,0
Rehaldian,5.0,pelayanan baik. mas baik jelasin kelebihan satu laptop dan lainnya,4 months ago,0
Rivan Prasetyo,5.0,Toko laptop seken berkualitas dengan harga yg miring..sangat recomended..maju terus Hero Computer 👍🏻👍🏻,a year ago,0
Alexander Vito Bramarista Galih. S,5.0,"Sangat baik dalam pelayanan, dan bisa bernegosiasi dengan sangat nyaman, sehingga tidak akan kecewa dengan pilihan laptop favorit yang diincar, semoga bisa berkembang terus..",3 years ago,0
Yuda Wahyu Anggara,5.0,Pelayanan bagus dan tidak mengecewakan,5 months ago,0
Rohadi Kuswara,5.0,"Barangnya bagus², dijamin aman",6 months ago,0
Farras Keviano Akia,5.0,"Pelayanan ramah, bisa konsultasi laptop, dan diarahkan sesuai budget dan kebutuhan",a year ago,0
Alfath Babeh Fadhlurrahman,5.0,"Jual laptop disini ga pake ribet, nanti mau coba beli disini 👍",3 months ago,0
Mohammad Zaini Naim,5.0,"Tempat nyaman, pelayanan ramah, harga terjangkau ..recommended untuk yang nyari laptop second bergaransi..... 👍",3 years ago,0
Ari Yani,5.0,Pelayanan yg sangat bagus. Mas nya bisa memberikan suggest laptop yang sesuai dengan kebutuhan kami.,7 months ago,0
Muhammad Iqbal,5.0,"Pelayanan mantap, software ori, barang mulus. Recommended.",11 months ago,0
Adelvia,5.0,baguss bangettt,2 months ago,0
Faddly Fauzy Ardiyanto,5.0,"Harga mantap, pelayanan memuaskan

recommended man👍🏼👍🏼",10 months ago,0
Rizal Andianto,5.0,"Repeat order ke 3x beli laptop disini, laptop 2nd yg masih seperti baru, recomended pokoknya 👍",a year ago,0
Nana Nina,5.0,"Pelayanan ramah, stok lengkap, banyak pilihan.  Harga terjangkau. Terimakasih 👍",a year ago,0
Purna Karyanto,5.0,Good place.. Terbaikk...,3 months ago,0
Wisnu Dwi Anggana,5.0,"Mantap, harga murah tempatnya enak nyaman pelayanannya ramah.",3 years ago,0
lukman nugraha,5.0,"Beli asus tuf dash di toko ini, dari segi barang yang ada masih cukup bagus untuk laptop second, pelayanan juga bagus, feel free to ask mengenai laptop yang akan dibeli, fasilitas garansi juga tersedia untuk asus tuf yang saya beli, cek barang sampai yakin.",10 months ago,0
Stella Natalia,5.0,"Tokonya baguss, pelayanannya mantap cocok untuk yang nyari laptopp. The best toko dehh",2 years ago,0
Brilliant,5.0,"Allhamdullilah produknya tidak mengecewakan, Garansi toko + garansi pabrikan masih aktif",2 years ago,0
Eka Pujilestari,5.0,"Pelayananannya ramah, pilihan banyak n semoga barangnya baguss awett☺️",7 months ago,0
sekar comel,5.0,"Sangat baik pelayanannya, barangnya juga bagus bagus dan terbaruuu, kalauu nanyaa di jelaskan sangatt jelass, bole liat liat sepuasnyaa, rekomenn sekalii🤏🏻🤏🏻",10 months ago,0
take your dress,5.0,"Nice, siap pakai 👍🏻",2 months ago,0
Andi Surandi,5.0,"Mantap, Spek dan harga nya cukup sesuai. Tempat dan pelayanan nya juga nyaman.",2 years ago,0
M Azharuddin,5.0,"pilihan laptop banyak, kualitas laptopnya bagus bagus, ada garansi toko juga 👍🏻",8 months ago,0
Alvin Prasetyo,5.0,"Terbaik banget pokoknya hero computer, dari jaman saya kuliah beli disini sampe sekarang gantian beliin untuk adek saya 🥰",a year ago,0
Fonda Adiwendro,5.0,"Recomended sekali tempat cari laptop 2nd tapi kualitas dan kondisi masih oke bangett, penjual juga amanah.. thanks Hero Computer",2 years ago,0
M adzin,5.0,pelayanannya ramah dan kualitas laptopnya bagus²,3 months ago,0
Hasna Salsabila,5.0,Aaaaa seneng banget beli laptop second disini😭❤ pelayanannya ramah banget trs laptopnya juga kualitas top dan harganya juga murahh. Bsk kalo mau beli laptop pasti balik kesini lagi deh,3 years ago,0
Muhammad Faiq Septian,5.0,"Tempat beli laptop recomended, kualitas nicee.",8 months ago,0
Adi Berliano,5.0,"Harga terjangkau , bisa nego , barang nya masih garansi resmi . Cocok buat yang mau cari laptop 2nd berkualitas",2 years ago,0
William,5.0,"Mantap, tempat nyaman, penjual ramah, dan harga termurah.",3 years ago,0
Adnan Rizki Nur Aji,5.0,"Pelayanan ramah, harga bersaing. Mantap!",2 years ago,0
solikah Solikah,5.0,"Jadi sadar beli laptop ga asal murah dan tergiur spek tinggi tapi langsung rusak. Di Hero Computer isinya laptoo bekas generasi baru semua, jaminan barang bagus seperti baru dan harga bersaing banget",9 months ago,0
Riyan Bahtiar,5.0,"Alhamdulillah, pelayanan bagus, laptop juga bagus kondisinya, sukses terus my hero, hero komputer",a year ago,0
MUHAMMAD RIDWAN FIRMANSYAH,5.0,Rekomendasi beli laptop second like new👍🏻,8 months ago,0
Anik Prihantini,5.0,"Pelayanan nya baik,ramah,fast respon juga,harga Topp,,Ama makasih ya bonusnya",2 years ago,0
Ahmad Shoffa,5.0,Mantap. Pelayanan ramah. Barangnya lengkap. Memuaskan.,a year ago,0
Purna Karyanto,5.0,Good place.. Terbaikk...,3 months ago,0
Nafi Mubarrok,5.0,Tempat beli laptop terlengkap di Yogyakarta dengan harga murah. Pelayanan juga ramah. Tempat nyaman,6 months ago,0
Mareta Nata,5.0,"pelayanannya memuaskan dan beli laptop disini sesuai bugdet.
laptop kualitasnya bagus",6 months ago,0
andrian baskoro,5.0,"Recomend banget sih buat yg cari laptop bekas. Barangnya juga oke banget sih, ngha nyesel jauh jauh ke jogja buat beli laptop ini. Ciiiiiaaaamiiik banget",3 years ago,0
Gaby Zefanya,5.0,Pelayanannya ramah dan dijelaskan sedetail mungkin saat mau beli laptop. Good service! 😊,8 months ago,0
Bregas Wahyu Mulia,5.0,"Laptop disini kualitas bagus semua, pelayanan pelanggan joss, rekomen kalau mau cari laptop bekas berkualitas",2 years ago,0
Egum Pahlevi,5.0,"Tempatnya nyaman, pelayananya mantap 👍👍",2 months ago,0
Irfaniar Rosyada,5.0,"barang oke, pelayanan ramah, trusted",2 years ago,0
Putra Dani Irawan,5.0,"Bagus, komplit banyak pilihan, penjualnya ramah",4 months ago,0
Bimo Khaerul Fuadi,5.0,"Pelayanan ramah, harga murah, barang berkualitas",a year ago,0
Purnomo Yuni Saputra,5.0,"Pelayanan bagus, tempat nyaman, unit lengkap & bagus, rekomended pokoknya",a year ago,0
Dinna Amelia,5.0,"Tempat nyaman,penanganan ramah rekomendasi banget",8 months ago,0
M aditya Rizky yulianto,5.0,Barang joss.kualitas mantabh.. pelayanan ramah,4 months ago,0
Deffaldo Farel Kanza,5.0,"Penjual nya ramah, harga terjangkau",4 months ago,0
anang andrianto,5.0,Maseh sabar...jos jis...nego puoolll mentok,9 months ago,0
Sheva Razak,5.0,"mantabb barangnya keren2, beli bekas serasa beli baru 🤟",11 months ago,0
Dwi Sugianto17,5.0,Tempat jual laptop bekas recomended dan barang berkualitas. Apalagi penjualnya ramah dan mampu menjelaskan dengan baik,2 years ago,0
Natania Safa,5.0,"buat yang lagi laptop second bisa banget ke toko hero computer ini.. pelayanannya ramah, dijelaskan detail spesifikasi dari laptop yang dibutuhkan, di berikan rekomendasi juga kualitas like new dan bisa dapet potongan harga.. mantap pokoknya👍👍👍",a year ago,0
Playstore Lenovo,5.0,"Walaupun bekas, tapi berkualitas dan harga buat pelanggan puas. Semoga semakin amanah. Terima kasih.",2 years ago,0
Tika Aprillia Hendrawati,5.0,"laptop lengkap, ramah dan infomatif 👍🏻",a month ago,0
zinggih eko tianto,5.0,Lengkap banyak pilihan laptop dari spek standar hingga gaming.,9 months ago,0
Rifqi Fardani,5.0,"Service mantap, worth it all barang mantap",11 months ago,0
Oden To,5.0,"tempatnya bagus, ada garansi toko juga",10 months ago,0
Veisya,5.0,pelayanannya ramah dan laptopnya good quality + harganya terjangkau,6 months ago,0
Anang Adi,5.0,"Tempat nyaman, pelayanan bagus, tanya macem-macem jawabnya macem-macem
👍👍",3 months ago,0
Mas Ruro,5.0,Recoment bagi yg cari laptop tempat nyaman service ramah,6 months ago,0
bintang setiawan,5.0,"Banyak pilihan, harganya juga terjangkau mantaabbb pokoknyaa",8 months ago,0
Bayu Trsl,5.0,"Pelayanan memuaskan
Laptop laptop disini walaupun bekas masih seperti baru, jangan ragu kalau beli laptop disini🫵🏻",8 months ago,0
Juan Kotten,5.0,"Pelayanan ramah, barang nya masih mulus sangat direkomendasikan",2 years ago,0
yuni apriyanti,5.0,"Tempat yang rekomended untuk beli laptop bekas, mantap pokoknya 👍🏻",2 years ago,0
Intan varameidita,5.0,"Pelayanan terbaik, recommended bgt deh",4 months ago,0
Mktfuln Nh (Punya tongtong),5.0,"Laptop yang ditawarkan bagus"" dan keluaran baru. Banyak laptop yang direkomendasikan dan tidak ada minus dari laptop yang ditawarkan",9 months ago,0
rina andriyani,5.0,"Banyak pilihan, pelayanan ramah, mantap harga terjangkau, kealitas terbaik",6 months ago,0
fira nurma,5.0,"Pelayanan ramah, tempat mudah ditemukan dan bersih. Barang masih baru². Recomend",8 months ago,0
Filhafirah Pratiwi,5.0,pokoknya recomended beli laptop second disinii🤩,5 months ago,0
Dimas Suranto,5.0,"Beli laptop seken di Hero computer sangat memuaskan, dengan tempat yang nyaman dan pelayanannya yang memuaskan",a year ago,0
Andaru Elok Sekar Artsanti,5.0,"baguss, masnya sangat informatif dan ramah👍🏻👍🏻👍🏻",2 months ago,0
Ibnu Abdul aziz,5.0,"Pelayanannya baik, mas2 nya ramah, pokoknya sangat rekomen untuk jual/beli laptop disini",8 months ago,0
Muhammad Nurizal,5.0,"produk bagus kondisi bner bner masih bagus mantap, pelayanan ramah, chat fastrespon lokasi nyaman",3 years ago,0
Agastya Abhipraya Erlangga,5.0,"pelayanan bagus, dikasih diskon tambahan",10 months ago,0
kumitir anggapratama,5.0,Pelayanan yang ramah dan barang berkualitas,2 months ago,0
Rizki Sisthannisa,5.0,Pelayanan oke dan jelas,6 months ago,0
Didik Andy Irawan,5.0,Mantap pelayanan ramah.. laptopnya pun masih kondisi likenew..👍,2 years ago,0
Muhammad Fauzi Akbar,5.0,"Mantap, pelayanan bagus dan cepat",8 months ago,0
Hikmal Mahdi,5.0,"Pelayanannya bagus dan ramah, barang juga sesuai",6 months ago,0
Aji Khotibul,5.0,"Beli laptop di Hero Computer sangat rekomended. Banyak pilihannya dan sellernya ramah dan baik betul.

Sukses selalu Hero Computer",3 years ago,0
Alegra,5.0,Pelayanan baik terbuka konsultasi via chat atau kunjungan di storenya langsung. Produk laptop bervariasi dan garansi panjang,8 months ago,0
Aldho Efbinawan Sa'adillah,5.0,"Tempat jual beli laptop second generasi baru, penjualnya ramah.",a year ago,0
Salsabela Afra Ramadhani,5.0,"mantap laptopnya like new sekali, dilayani sangat ramah. semoga awet laptopnya. sukses terus🌸🙏🏻",8 months ago,0
muhamad fauzi darmawan,5.0,"Tempat jual laptop second recommended di Jogja, laptop di cek dulu kondisinya 👍
Recommended untuk yg sedang cari laptop second",6 months ago,0
Rifgi Wahyu Surya Pratama,5.0,"Untukk pelayanan sangat bagus sekali disinii, yang tidak mengerti laptop atauu yang sama sekali tauu pastii diarahkan atau direkomendasikan sesuai budget yang kitaa punyaaa:)",a year ago,0
Muhamad Bimo,5.0,Yang tbtb cari laptop.,3 months ago,0
Immawan Wahyudin,5.0,"Pelayanan terbaik, laptop second berkualitas",5 months ago,0
Satya Rhey,5.0,Tempat ny Bagus 👍,a month ago,0
Khairiyah,5.0,Pelayanan ramah unitnya bagus dan terjaga,4 months ago,0
story of Dec,5.0,"tempatnya bersih, pelayanan ramah, rekomen buat yang cari laptop second",3 years ago,0
03_ Chevy Wistan Kalandra C.,5.0,"mantap, tokonya nyaman buat beli laptop second, pilihan banyak dan masih bagus bagus. gacor",9 months ago,0
heri wahyuningsih,5.0,Laptopnya bagus bagus dan recomended buat yang mau cari cari laptop di Jogja,10 months ago,0
rangga bayu,5.0,Tak kasih info bosku yang mau cari laptop bekas di jogja langsung saja ke hero computer tempat nya recomended bangett,2 years ago,0
Yasmine Shazia Azzaria K,5.0,Pelayananya ramah dan kondisi laptop masih sangat bagus,6 months ago,0
Hafid Afi,5.0,Mantap barang bagus,2 months ago,0
muchsin muzafar,5.0,"Tempat bagus nyaman, pelayanan oke.",4 months ago,0
Fey L,5.0,"Servisnya bagus, dapet diskon jg",4 months ago,0
Muhammad Huda,5.0,"Pelayanan ramah, cepat, yang pasti ada diskonnya 💯💯💯 pokoknya rekomended buat yang mau cari laptop gaming atau tukar tambah disini. Sukses dan jaya selalu",a year ago,0
Muhammad Ridwan,5.0,"Tempatnya bersih,pelayanan informatif harga relatif terjangkau",2 years ago,0
bsi eka,5.0,👍👍👍👍👍,a month ago,0
Taqitaqi,5.0,"Pelayanan sangat baik, barang juga masih sangat baik baik",2 months ago,0
Ria Dini Andita,5.0,"Rekomend banget buat cari laptop, Insyaallah bagus unitnya 👍",6 months ago,0
Bagus Alif,5.0,"jual beli laptop yogyakarta dan sekitarnya, barang bagus harga terjangkau",a year ago,0
Alfathan Nur,5.0,"kesini beli laptop asus pelayanan ramah, dijelaskan sampai detai dan ada diskonnnn",7 months ago,0
Khoirunnisaa Amalia,5.0,"Laptop berkualitas dengan harga terbaik, insyaAllah amanah 👍",5 months ago,0
Nauval M habib,5.0,"alhamdulillah, dapat rejeki tiba tiba beli laptop",2 months ago,0
El Sinorita,5.0,"Pelayanannya ramah, penjelasannya lengkap",3 months ago,0
SEKAR ARUM SAYEKTI,5.0,Pelayananya ramah dan detail menjelaskan ke customer,4 months ago,0
Candra Darmayanti,5.0,"Pelayanan ramah, barangnya lengkap bervariasi, banyak bonusnyaa",2 years ago,0
Edwin Gaso,5.0,"Pelayanan mantap, banyak diskon. Langsung cus gais👍🏾",a year ago,0
Meirisa Ashari,5.0,"baguss, pelayanan memuaskan",a month ago,0
FAJAR DESTA,5.0,"Pelayanan yg ramah,dan harga yang murah,barang berkualitas..mantappp",3 years ago,0
Faris Yusuf Baktiar,5.0,Recommended buat cari laptop 2nd berkualitas,3 months ago,0
Rahmadiyah Salsabila,5.0,Pelayanannya ramah dan ketersediaan laptopnya sesuai kebutuhan,6 months ago,0
Azka Shadam,5.0,Pelayanan ramah dan baik. Setiap pertanyaan mampu dijelaskan dengan detail dan memberikan rekomendasi sesuai harapan saya.,11 months ago,0
Niam Fauzi,5.0,Laptop bekas rasa baruu Joss harga murah kualitas bintang 5 nek ragu2 rasah tuku nek kene,2 years ago,0
NOPAL TRAVEL,5.0,"Laptop Like new juga ada disini, harga affordable",a year ago,0
Lily Berlian,5.0,"Pelayanannya oke banget, kualitasnya juga bagus banget ✨✨✨✨🥬",6 months ago,0
Mikel,5.0,Mantapppppp bangetttt banyak promo juga guys 🫨,2 months ago,0
Muhamad iqbal Ardiansyah,5.0,Pembelian di hero computer jogjaa sangat baik ramahh dan harganya terjangkau pelayanan jugaa baikk,7 months ago,0
